review
"really slow and notifications don't come properly"
"Many a times its not working"
"Very slow at times"
"sometime it works fine while at other time it stops working"
"Very slow application"
"I receive the current day's message the next day"
"Need to improve the quality of the application"
"very bad toooo slow not working fast"
"takes too much time to open"
"the loading time is endless"
"we can't access any information"















